NewAccount,NewAccountCode,Date,Contact,Amount,Description,TransactionID
Meals_Food,421,2019-07-08,Netto,11.92,,9d1e1105-6864-437f-9e42-d49698a80599
Meals_Food,421,2019-07-11,REWE,22.68,,45d593b3-6e51-4e9b-a5bf-e7bddc0e1b9a
Meals_Food,421,2019-07-12,Bio Company,9.56,,d4c15b15-ac5d-476c-87a3-92872542822d
Meals_Food,421,2019-07-15,Vin Aquq,14.8,,bde1d2b9-a482-4dad-bc07-893a644c5857
Meals_Food,421,2019-07-15,REWE,16.42,,42873c32-3cc4-48e8-a448-c4d55fd96142
Meals_Food,421,2019-09-27,Mc Donald's,8.66,,29c9ff3c-ae81-4543-ac95-aa39e7c14f83
Meals_Food,421,2019-11-18,Mc Donald's,16.2,,ae214d18-c992-40e9-ba7f-43b1d7e19398
Meals_Food,421,2019-11-21,Mc Donald's,4.0,,a0107e96-f97a-410a-b2f9-0b2cf449dedd
Meals_Food,421,2019-11-22,REWE,16.19,,cfcc0321-513c-4e7e-9383-7d16da3327d7
Meals_Food,421,2019-11-26,Netto,20.1,,353528f4-486f-4a18-8c29-6d258346fb8f
Meals_Food,421,2020-06-22,Takeaway.com,33.95,,73a99535-6752-470f-a19b-798fadbb3827
Meals_Food,421,2022-07-04,Morgan Schoermer,20.33,Owner's Lunch,12a7ef97-a6d2-4294-8d28-0ef407eb0e14
Meals_Food,421,2022-07-05,Cairns Bulk Meats,25.7,Owner's Lunch,f0ef0dd8-5fbd-4fec-a85c-a4492f1d754d
Meals_Food,421,2022-07-11,LIVIN KAALVOETKIND,15.6,Owner's Lunch,b2685e9a-f217-4b76-86ae-76a03f7de4d9
Meals_Food,421,2022-08-16,Cairns Bulk Meats,19.85,Owner's Lunch,3c617dc5-ce8f-49be-9f64-0e44d925d801
Meals_Food,421,2022-08-16,Collin's Restuarants,10.95,Owner's Lunch,33a79523-9a46-4251-b035-7f8efb1a20c3
Meals_Food,421,2022-08-19,Tia's,22.5,Owner's Lunch,7463e25f-41da-46cd-b079-e8ff84b026e0
