Date,Type,Contact,Description,Reference,Total,LineAccountCode,LineAccountName,LineDescription,Status,BankTxnID
2019-04-09,SPEND,KajiTech,,,292.22,310,,Snap Buttons,AUTHORISED,75ee7c93-4ddb-446b-a026-51387fec2c36
2019-07-01,SPEND,Westpac Bank,,,10.0,404,,Bank Fees,AUTHORISED,bee0f17d-24a3-4bce-a6bd-491ec637e5d3
2019-07-01,SPEND,BVG,,,9.37,494,,Train,AUTHORISED,99e24b6e-632e-4434-8a9f-9c7ac9f4c018
2019-07-01,SPEND,UBER,,,24.9,494,,,AUTHORISED,d4214f79-5d48-4687-8fac-36e394dea4f3
2019-07-01,SPEND,EDEKA,,,55.79,420,,Directors lunch,AUTHORISED,85948d6f-5871-434f-af2f-f9661620b27b
2019-07-01,SPEND,Baldon,,,36.83,420,,,AUTHORISED,7cd1466a-a0cd-48f6-b178-0758be6b29f1
2019-07-01,SPEND,St Barts,,,117.18,420,,,AUTHORISED,4bbe0787-4521-47f1-8a58-84effdd2ccc0
2019-07-02,SPEND,Morgan Schoermer,,,43.5,880,,,AUTHORISED,56604673-3d1d-4371-86c2-43bc3ae331cf
2019-07-02,SPEND,Westpac Bank,,,5.0,404,,,AUTHORISED,0928eeb0-7667-422d-a683-3e1df3b1bfd9
2019-07-03,SPEND,UBER,,,4.32,494,,,AUTHORISED,ade4c5d5-0196-4d76-bf5d-accf4107ab49
2019-07-03,SPEND,BVG,,,14.23,494,,,AUTHORISED,7d6ccaf7-a762-4e7b-a858-a50ac77805a4
2019-07-03,SPEND,BVG,,,4.68,494,,,AUTHORISED,a730a9b6-4568-4c21-b0cb-840ff7d3a412
2019-07-04,SPEND,Morgan Schoermer,,,66.59,880,,,AUTHORISED,18958b9b-3217-43d8-8e80-f288891ad4e5
2019-07-04,SPEND,Westpac Bank,,,5.0,404,,,AUTHORISED,b6671360-1980-4faf-8552-1ff608a68086
2019-07-04,SPEND,UBER,,,3.16,494,,,AUTHORISED,24cd0706-fb47-490a-a13a-81744afaa334
2019-07-05,SPEND,UBER,,,4.28,494,,,AUTHORISED,aa2faa11-ee58-4e27-b598-e061e649c7db
2019-07-05,SPEND,EDEKA,,,196.96,420,,,AUTHORISED,28270adb-69d8-4f68-8168-167464e987ab
2019-07-05,SPEND,UBER,,,5.94,494,,,AUTHORISED,91a3a8de-e9c6-4079-ae0e-519c83ca96ab
2019-07-08,SPEND,UBER,,,7.95,494,,,AUTHORISED,8083d2f7-35a7-4606-bd5e-56f3a1b11642
2019-07-08,SPEND,Netto,,,11.92,420,,,AUTHORISED,9d1e1105-6864-437f-9e42-d49698a80599
2019-07-08,SPEND,UBER,,,17.9,494,,,AUTHORISED,2cb60bd3-912d-495c-9fca-b618ef57d6fd
2019-07-08,SPEND,Flach Hesse,,,190.82,429,,Samples,AUTHORISED,f99347f8-07d1-4ed7-99b2-f99da7bff0cc
2019-07-08,SPEND,Dropbox,,,30.79,485,,,AUTHORISED,37a52329-c8a0-45f2-bcf9-aa33e52060f2
2019-07-08,SPEND,Morgan Schoermer,,,49.78,880,,,AUTHORISED,c4b2069c-be8a-44ec-a33c-e9d6696d3e24
2019-07-08,SPEND,Morgan Schoermer,,,60.93,880,,,AUTHORISED,154c6737-4143-49a7-810a-af3d0a556b46
2019-07-08,SPEND,Morgan Schoermer,,,82.97,880,,,AUTHORISED,8947e1f9-7262-4da9-831c-2e1cc7928993
2019-07-08,SPEND,Westpac Bank,,,5.0,404,,,AUTHORISED,5e5dd344-5d69-49fb-93f3-07f54d184bec
2019-07-08,SPEND,Westpac Bank,,,5.0,404,,,AUTHORISED,7b80f651-d2b5-4cb0-ae08-87243d420cf0
2019-07-08,SPEND,Westpac Bank,,,5.0,404,,,AUTHORISED,05c40375-414e-4b74-8176-f6beba6171f7
2019-07-08,SPEND,UBER,,,5.95,494,,,AUTHORISED,dac610e9-1758-48da-b16d-9355a784951f
2019-07-08,SPEND,UBER,,,10.62,494,,,AUTHORISED,c29a4d30-f57d-44ad-ac29-077cbf326351
2019-07-08,SPEND,UBER,,,12.6,494,,,AUTHORISED,1bcfc83e-cf17-4901-bddd-df43541dd55c
2019-07-08,SPEND,UBER,,,20.72,494,,,AUTHORISED,d4827d3b-da65-466e-a999-c48b13f42534
2019-07-09,SPEND,Uniqlo,,,79.05,429,,Samples,AUTHORISED,c4c94c42-d92b-49d5-8186-543fae6274de
2019-07-09,SPEND,Morgan Schoermer,,,49.78,880,,,AUTHORISED,ebcbfa87-331f-444d-ac9c-51fb2f266c1d
2019-07-09,SPEND,Westpac Bank,,,5.0,404,,,AUTHORISED,462ad57f-23b3-45d9-a119-42eaa36c7ab7
2019-07-09,SPEND,sporadic,,,165.72,429,,samples,AUTHORISED,594ef89a-9e26-49d0-a9d1-6b932b0f6f7d
2019-07-11,SPEND,REWE,,,22.68,420,,,AUTHORISED,45d593b3-6e51-4e9b-a5bf-e7bddc0e1b9a
2019-07-11,SPEND,Frischeparadies,,,64.13,420,,,AUTHORISED,a3f2daa2-e5d3-44e3-a72a-a70b505c53b7
2019-07-12,RECEIVE,Abyss Distribution,,,2500.01,200,,,AUTHORISED,c7bb45f8-e807-4d65-a52e-019137b056d6
2019-07-12,SPEND,Morgan Schoermer,,,3000.0,900,,,AUTHORISED,e0d49851-cf67-4d8c-bfba-2a1e0a2175cd
2019-07-12,SPEND,Bio Company,,,9.56,420,,,AUTHORISED,d4c15b15-ac5d-476c-87a3-92872542822d
2019-07-12,SPEND,Morgan Schoermer,,,167.17,880,,,AUTHORISED,859e6838-917c-485e-a25f-5cbd9cc94f74
2019-07-12,SPEND,Westpac Bank,,,5.0,404,,,AUTHORISED,ecdb67f5-9430-442e-a43f-76ff383f2b3d
2019-07-15,SPEND,Vin Aquq,,,14.8,420,,,AUTHORISED,bde1d2b9-a482-4dad-bc07-893a644c5857
2019-07-15,SPEND,Uniqlo,,,45.06,429,,Samples,AUTHORISED,50b9e62b-949f-483a-9092-bffc2fb996b3
2019-07-15,SPEND,Morgan Schoermer,,,97.58,880,,,AUTHORISED,06bcc3ba-d3d2-48b5-b8e5-d1a05404dcd4
2019-07-15,SPEND,Westpac Bank,,,5.0,404,,,AUTHORISED,b9eca6fa-5ebe-473e-b7d7-1090510bf026
2019-07-15,SPEND,Westpac Bank,,,5.0,404,,,AUTHORISED,2e42eb60-ef0b-49a3-a00c-166b8668775e
2019-07-15,SPEND,UBER,,,5.32,494,,,AUTHORISED,ca388f73-3360-42af-9812-637de71bb803
2019-07-15,SPEND,REWE,,,16.42,420,,,AUTHORISED,42873c32-3cc4-48e8-a448-c4d55fd96142
2019-07-15,SPEND,Morgan Schoermer,,,83.13,880,,,AUTHORISED,6329dbb9-782c-4bb0-8988-204792bf40ed
2019-07-17,SPEND,Westpac Bank,,,5.0,404,,,AUTHORISED,f6a8892b-1bcf-4a42-bb6a-e9dd216e344b
2019-07-17,SPEND,Morgan Schoermer,,,82.76,880,,,AUTHORISED,34c4c0c7-f202-4186-b02b-492145ce888a
2019-07-18,RECEIVE,Morgan Schoermer,,,186.38,260,,,AUTHORISED,09300c62-4f47-472a-810a-07573c78483e
2019-07-22,SPEND,Decathlon,,,67.25,429,,Samples,AUTHORISED,bfc43b75-8541-4ac4-8288-d74adee93919
2019-07-24,SPEND,Spotify,,,11.99,485,,,AUTHORISED,a02bda4c-7601-4fd4-9ccf-227fa6e6fa46
2019-07-26,SPEND,UBER,,,25.26,494,,,AUTHORISED,08bb54fd-ca77-4a8d-aa45-d5b310c0ef5a
2019-07-29,SPEND,akilothianw,,,87.54,429,,Aki Hong Kong Agent,AUTHORISED,91292bf7-7f7c-491c-a38c-e8762462d3fc
2019-08-01,SPEND,Westpac Bank,,,10.0,404,,Bank Fees,AUTHORISED,ffbac82c-3fa5-4023-a395-bd889bd305d1
2019-08-01,SPEND,Morgan Schoermer,,,12.0,880,,,AUTHORISED,b9541b96-9fee-4bc7-b966-3f1392b32c3b
2019-08-05,SPEND,UBER,,,6.05,494,,,AUTHORISED,4b740865-011d-4aac-ba71-45d6fdee4765
2019-08-15,SPEND,Westpac Bank,,,12.0,404,,,AUTHORISED,4c00e6b0-430b-4f77-99b1-c13e33566fbb
2019-08-15,RECEIVE,O'neil Enterprises,,,4588.57,260,,Payment For T Shirts,AUTHORISED,677ddc77-cfb9-40b4-99da-905248c5ad59
2019-08-16,RECEIVE,UBER,,,41.34,494,,,AUTHORISED,9a489b94-4731-4753-a8df-eebdd174d051
2019-08-16,RECEIVE,Westpac Bank,,,1.24,260,,Refund,AUTHORISED,ea20d76e-0ad7-48a9-974b-7c88be858dc6
2019-08-16,SPEND,Dropbox,,,30.79,485,,,AUTHORISED,b1de20ae-4e6b-4c1c-959d-a687c3ab55e5
2019-08-16,SPEND,UBER,,,46.49,494,,,AUTHORISED,a2f00ae2-3b2a-4aa9-9ef0-278d57a0b99d
2019-08-19,SPEND,Autonoleggio Olbia,,,1022.18,494,,Rental Car,AUTHORISED,4992c830-6304-439d-905e-ac28353d3b2c
2019-08-20,SPEND,Pv6315 Olbia,,,34.55,494,,Fuel,AUTHORISED,54b69d91-9061-455b-ae60-a8f209b1d9ea
2019-08-22,SPEND,Viet Garment,,,1691.88,310,,T Shirt Production,AUTHORISED,d2bfec4c-6489-4630-a810-fa80ded57fcc
2019-08-23,RECEIVE,Autonoleggio Olbia,,,517.15,260,,Refund,AUTHORISED,be3bc0d7-bfd1-4902-a4d3-742991cb0f90
2019-08-23,RECEIVE,Autonoleggio Olbia,,,15.51,260,,Refund ,AUTHORISED,ba3cc982-8944-4462-9fc1-319a86cd1e56
2019-08-23,SPEND,Google,,,16.64,485,,,AUTHORISED,48e8e3d3-29a5-4cd0-8510-81f26c067210
2019-08-23,SPEND,Google,,,16.64,485,,,AUTHORISED,ab8165ae-1f24-49e0-a928-2db2170253cf
2019-08-26,SPEND,Spotify,,,11.99,485,,,AUTHORISED,5bb2d8ca-80bc-4a53-9ef8-fb91d1173fdc
2019-08-26,SPEND,akilothianw,,,898.44,310,,Gasius Production,AUTHORISED,9729621e-af20-40a6-bc7d-673f290e8bd3
2019-08-29,SPEND,UBER,,,5.76,494,,,AUTHORISED,08f2f047-d568-41a8-8e5b-d2984cdda458
2019-09-02,SPEND,Westpac Bank,,,10.0,404,,Bank Fees,AUTHORISED,ca577082-8b55-426f-a968-8c6e9c764142
2019-09-02,SPEND,Westpac Bank,,,20.0,404,,,AUTHORISED,fba89d3f-23ee-4757-bfac-9a4889217b1e
2019-09-09,RECEIVE,Abyss Distribution,,,3000.0,260,,,AUTHORISED,c5cce007-34a8-45a9-97a6-a7437feb7239
2019-09-09,SPEND,Dropbox,,,30.79,485,,,AUTHORISED,f52591d1-cab2-4148-b365-e1efd568ac3e
2019-09-09,SPEND,taktile,,,92.18,429,,Samples,AUTHORISED,99ddc304-184f-474e-b46c-ff9325ef79b6
2019-09-13,SPEND,Morgan Schoermer,,,3000.0,900,,,AUTHORISED,fd0cb9f3-2f1b-4ff6-832f-ff7406019690
2019-09-16,SPEND,UBER,,,15.0,494,,,AUTHORISED,3393eb85-eca9-48c1-8694-004289583eb0
2019-09-16,SPEND,UBER,,,65.03,494,,,AUTHORISED,cefe687f-8f89-4d84-b5b9-61b71b11fe10
2019-09-16,SPEND,Westpac Bank,,,5.0,404,,,AUTHORISED,e3e3b6ec-98ec-4979-bcb7-157a891b44ff
2019-09-16,SPEND,UBER,,,16.43,494,,,AUTHORISED,62285538-49db-4415-86ec-393728b56daf
2019-09-16,SPEND,Morgan Schoermer,,,133.21,880,,,AUTHORISED,65e8de46-71c5-4381-923a-6719cd5b51a7
2019-09-23,SPEND,Morgan Schoermer,,,98.2,880,,,AUTHORISED,dec91136-8c9c-4d9e-a31c-894e871ccc28
2019-09-23,SPEND,Westpac Bank,,,5.0,404,,,AUTHORISED,3895c7a9-8a37-42c1-a510-9c509c540b32
2019-09-23,SPEND,UBER,,,6.85,494,,,AUTHORISED,4780bb44-0901-406a-a64d-93bde8c78539
2019-09-24,SPEND,UBER,,,6.68,494,,,AUTHORISED,2e7fddd9-0d71-4bc7-996b-859348832f83
2019-09-24,SPEND,Spotify,,,11.99,485,,,AUTHORISED,dac064cc-b62f-46f2-9a86-122b12ff8775
2019-09-24,SPEND,Sisyphos,,,173.59,420,,,AUTHORISED,4da168b7-1fb1-4eb8-a738-fc0c412ac032
2019-09-25,SPEND,EasyJet,,,355.7,494,,,AUTHORISED,4cc5e13d-aa49-4abe-9d7f-448576991272
2019-09-26,SPEND,UBER,,,8.78,494,,,AUTHORISED,d3846350-c648-4e2f-9ff9-a35efe8b0017
2019-09-27,SPEND,UBER,,,10.49,494,,,AUTHORISED,c93bcbc7-55ff-4974-a76e-b8e79a5baf91
2019-09-27,SPEND,Mc Donald's,,,8.66,420,,,AUTHORISED,29c9ff3c-ae81-4543-ac95-aa39e7c14f83
2019-09-30,SPEND,Schiphol Airport,,,5.01,494,,,AUTHORISED,8c424751-a047-47c3-be66-fa6d2a81d9bc
2019-09-30,SPEND,Schiphol Airport,,,9.18,494,,,AUTHORISED,b8eb1db4-d748-4634-ab34-0e51d058d4d8
2019-09-30,SPEND,Mc Donald's,,,14.02,494,,,AUTHORISED,3c6abf8a-1b6a-4a71-8b70-8b289baf9434
2019-10-01,SPEND,Westpac Bank,,,10.0,404,,Bank Fees,AUTHORISED,2e37ee2b-86e1-448a-a2b5-3a0f07c4b411
2019-10-01,SPEND,Westpac Bank,,,10.0,404,,,AUTHORISED,49e4510f-a756-4d0b-b8bd-fa2c51b87b46
2019-10-25,RECEIVE,Abyss Distribution,,,1500.0,260,,,AUTHORISED,5e16aa99-af7b-4fd9-9e1a-9ad8fee895e2
2019-10-25,SPEND,Morgan Schoermer,,,1000.0,900,,,AUTHORISED,11749e4c-380a-444a-8ea9-ebeeac0fa5dc
2019-10-28,SPEND,UBER,,,3.19,494,,,AUTHORISED,6aefac4c-a78c-49da-9f5f-b8ea6d3a8da5
2019-10-28,SPEND,Spotify,,,11.99,485,,,AUTHORISED,ef3a5f30-fe21-4491-983d-d5e91e22110c
2019-10-28,SPEND,Dropbox,,,30.79,485,,,AUTHORISED,db98ba91-7d42-4af3-87a9-c8d4c078a58e
2019-10-31,SPEND,Interest,,,0.09,437,,Interest Received Earned ,AUTHORISED,b632dae0-6d52-4c9f-ad8b-82f6120d9658
2019-11-01,SPEND,Westpac Bank,,,10.0,404,,Bank Fees,AUTHORISED,416ef3bb-6048-4314-9ab3-4ba08fd65049
2019-11-04,SPEND,Google,,,4.82,485,,,AUTHORISED,22f4a4e1-d579-4731-abb8-d4c87f0eb91d
2019-11-06,SPEND,Morgan Schoermer,,,333.02,880,,,AUTHORISED,ef43032c-bdb0-4b28-9f96-f7db196521fa
2019-11-06,SPEND,Westpac Bank,,,5.0,404,,,AUTHORISED,1921b184-8f64-44d9-af2b-6d6e0829c37a
2019-11-07,SPEND,Morgan Schoermer,,,97.21,880,,,AUTHORISED,e830598a-2269-4900-9c7d-8532c56d2eaa
2019-11-07,SPEND,Westpac Bank,,,5.0,404,,,AUTHORISED,7fab0680-32e0-4c8a-820f-bf2b547156c2
2019-11-18,RECEIVE,Abyss Distribution,,,2000.0,260,,,AUTHORISED,b8119764-6ef9-4cbb-bda4-a6de2f5bb62c
2019-11-18,SPEND,Mc Donald's,,,16.2,420,,,AUTHORISED,ae214d18-c992-40e9-ba7f-43b1d7e19398
2019-11-18,SPEND,Westpac Bank,,,5.0,404,,,AUTHORISED,7ddbf681-30f1-4cdc-9d88-fea1b51da4f4
2019-11-18,SPEND,UBER,,,5.19,494,,,AUTHORISED,6c18eb09-8060-4b5d-a8f4-bc88e03f32ac
2019-11-18,SPEND,Morgan Schoermer,,,134.01,880,,,AUTHORISED,586c6191-8a52-45e8-bfd3-747f3c3eae30
2019-11-19,SPEND,expressvpn,,,19.9,485,,,AUTHORISED,4adceaf9-5710-470f-98fa-1b6806d5f559
2019-11-19,SPEND,Morgan Schoermer,,,98.0,880,,,AUTHORISED,a8251027-389b-4068-baf7-2cccf83af95e
2019-11-19,SPEND,Westpac Bank,,,5.0,404,,,AUTHORISED,4edba99d-58bf-45be-920f-3d2b316d21f4
2019-11-20,SPEND,Euro Giba,,,62.63,420,,,AUTHORISED,5b36b205-c0d5-4c35-a121-ff59a3c15ace
2019-11-20,SPEND,Dropbox,,,30.79,485,,,AUTHORISED,92b4415b-8353-4b8d-9808-274e37f61f83
2019-11-21,SPEND,Mc Donald's,,,4.0,420,,,AUTHORISED,a0107e96-f97a-410a-b2f9-0b2cf449dedd
2019-11-22,SPEND,Media Markt,,,30.23,453,,,AUTHORISED,133ab886-bba3-4f6e-a0f0-17886d0ac480
2019-11-22,SPEND,Westpac Bank,,,5.0,404,,,AUTHORISED,7c700772-e10e-4158-9bd3-33052cf6c121
2019-11-22,SPEND,REWE,,,16.19,420,,,AUTHORISED,cfcc0321-513c-4e7e-9383-7d16da3327d7
2019-11-22,SPEND,Morgan Schoermer,,,83.83,880,,,AUTHORISED,38e3fc9b-9aa3-4b2d-865b-9391f86f477f
2019-11-25,SPEND,Spotify,,,11.99,485,,,AUTHORISED,9e8e7201-e502-4f2b-ad03-21314ff4a3cf
2019-11-25,SPEND,REWE,,,56.2,420,,,AUTHORISED,f7463438-e46b-4d9e-94b3-58dfd888ae18
2019-11-25,SPEND,Brlo,,,100.81,420,,,AUTHORISED,33b56569-7f7c-42b2-bf32-778e711b1f78
2019-11-25,SPEND,Autonoleggio Olbia,,,102.49,494,,,AUTHORISED,05a88e78-35b9-4375-8682-119dfc8ed60e
2019-11-26,SPEND,Netto,,,20.1,420,,,AUTHORISED,353528f4-486f-4a18-8c29-6d258346fb8f
2019-11-29,SPEND,Interest,,,0.03,437,,Interest Received Earned ,AUTHORISED,29836fe2-1b17-42d0-9605-40e18e4bcf46
2019-11-29,SPEND,Morgan Schoermer,,,43.54,880,,,AUTHORISED,f3f26699-498a-4429-922b-a6ddc304bf40
2019-11-29,SPEND,Westpac Bank,,,5.0,404,,,AUTHORISED,db0eb5ae-1976-43e1-9e58-734af32a88b8
2019-11-29,SPEND,Morgan Schoermer,,,1000.0,900,,,AUTHORISED,2a2ddc0d-9842-48d5-926b-9e2de0f8cf7e
2019-11-29,SPEND,WKD Lebensmittel,,,114.05,420,,,AUTHORISED,73192446-1d39-4b48-b39e-5c562b1e71c0
2019-12-02,SPEND,Westpac Bank,,,10.0,404,,Bank Fees,AUTHORISED,9818c6ac-8eb3-4414-b222-0b7314fed103
2019-12-02,SPEND,Google,,,8.32,485,,,AUTHORISED,9eaee327-1966-4107-9291-786815b1d393
2019-12-02,RECEIVE,Abyss Distribution,,,1000.0,260,,,AUTHORISED,3e9d6303-57c4-4cf8-bcd3-1f5a56ca85af
2019-12-18,SPEND,Abyss Distribution,,,1000.0,900,,,AUTHORISED,0b6fbfea-6181-4072-8abd-0ec2fb0b064d
2019-12-31,RECEIVE,Abyss Distribution,,,2500.0,260,,,AUTHORISED,b3365c92-8574-4606-b869-1554d44f4291
2019-12-31,SPEND,Morgan Schoermer,,,1000.0,900,,,AUTHORISED,e1c1a913-fdad-4651-97fa-e22593c07d4e
2020-01-02,SPEND,Westpac Bank,,,10.0,404,,Bank Fees,AUTHORISED,b598e52b-b113-4c83-af1e-1723804bb196
2020-01-02,SPEND,Google,,,8.32,485,,,AUTHORISED,1aa283bd-e538-483f-8ae7-d26b4ece316d
2020-01-02,SPEND,Dropbox,,,30.79,485,,,AUTHORISED,2935d0da-ee91-4a90-a5b8-7d5a3e21ec57
2020-01-02,SPEND,Spotify,,,11.99,485,,,AUTHORISED,c1322070-fef3-4b20-903e-240d46d0335c
2020-01-02,SPEND,UBER,,,3.62,494,,,AUTHORISED,4c608d61-eeb6-4989-9799-fdcfb0414a1b
2020-01-06,SPEND,Samgasat,,,109.0,420,,,AUTHORISED,d431ae7d-9d9f-478c-8eb9-10bd150ed4e8
2020-01-06,SPEND,ATM,,,100.0,880,,,AUTHORISED,df9e49b0-f141-4c15-9623-599318989834
2020-01-06,SPEND,Westpac Bank,,,3.0,404,,,AUTHORISED,0a483a3f-4e47-4690-984d-f19ba92c5d8c
2020-01-07,SPEND,ATM,,,10.79,880,,,AUTHORISED,e756ea07-3216-4b82-8575-4aae6d77717a
2020-01-08,SPEND,Dropbox,,,30.79,485,,,AUTHORISED,9d77e0e0-0d7f-4b75-b4e9-932f2824f209
2020-01-09,SPEND,ATM,,,9.93,494,,,AUTHORISED,0f93493c-eee6-456a-93b2-f8c357a7374f
2020-01-13,SPEND,Ableton,,,216.66,485,,,AUTHORISED,fb12f610-f0cf-43fe-b6fe-0024d86609f3
2020-01-15,SPEND,Air Latvia,,,349.59,494,,,AUTHORISED,b91a6a73-497d-43b9-8716-bf5a64a4068f
2020-01-15,SPEND,Air Latvia,,,214.77,494,,,AUTHORISED,07a005e1-d890-4dfd-a4d6-92f0167383cb
2020-01-16,SPEND,Amazon,,,45.03,429,,Samples,AUTHORISED,9c76d05e-b4cf-4e68-82b0-510765098868
2020-01-17,SPEND,Amazon,,,36.03,429,,Samples,AUTHORISED,b11642a8-b21a-4a25-86aa-c8087c118a4f
2020-01-20,SPEND,expressvpn,,,19.64,485,,,AUTHORISED,133875ec-1b20-44af-afc8-49dd9d978c77
2020-01-20,SPEND,UBER,,,21.99,494,,,AUTHORISED,220c74d6-b0d7-4ddb-88b7-d568c2ab08da
2020-01-22,SPEND,Audible,,,22.49,485,,,AUTHORISED,5cadf6f8-71db-4055-87f3-abc5fc5510ea
2020-01-22,SPEND,Audible,,,16.6,485,,,AUTHORISED,d80e3761-d806-48b8-8065-1a2938d7c1d3
2020-01-24,SPEND,Spotify,,,11.99,485,,,AUTHORISED,96bcd614-e1df-43a6-b58d-ba02556cc2b1
