Date,Description,Amount,Currency,Balance,Direction,XeroAccountCode,XeroAccountName,NeedsReview,ReviewNote,SourceFile,RuleVersion,PersonalIncomeCategory
2020-11-26,Sent money to Marleen Fitterer,-120.35,EUR,433.48,outgoing,630,Inventory,no,mapped per Morgan rule: remaining supplier payments to Inventory,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v7-2026-02-18,
2020-11-26,Converted 900.00 AUD to 553.83 EUR,553.83,EUR,553.83,incoming,850,Suspense,no,Currency conversion,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v8-2026-02-19,
2020-11-26,Topped up account,400.00,AUD,400.00,incoming,881,Owner A Funds Introduced,no,Account top-up - owner funds,statement_16108725_AUD_2019-07-01_2026-02-14.pdf,v2-2026-02-18,owner_transfer
2020-11-26,Converted 900.00 AUD to 553.83 EUR,-900.00,AUD,0.00,outgoing,850,Suspense,no,currency conversion → Suspense (temporary clearing),statement_16108725_AUD_2019-07-01_2026-02-14.pdf,v8-2026-02-19,
2020-11-26,Received money from LEIF OH LEIF DISTRIBUTION PTY LTD with reference,900.00,AUD,900.00,incoming,881,Owner A Funds Introduced,no,Transfer from company account,statement_16108725_AUD_2019-07-01_2026-02-14.pdf,v2-2026-02-18,owner_transfer
2020-12-14,Sent money to Marleen Fitterer,-120.35,EUR,313.13,outgoing,630,Inventory,no,mapped per Morgan rule: remaining supplier payments to Inventory,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v7-2026-02-18,
2020-12-16,Sent money to Morgan Schoermer,-200.57,AUD,199.43,outgoing,850,Suspense,no,mapped per Morgan rule: owner transfers clearing (temporary),statement_16108725_AUD_2019-07-01_2026-02-14.pdf,v3-2026-02-18,
2021-01-02,Sent money to Marleen Fitterer,-55.35,EUR,257.78,outgoing,630,Inventory,no,mapped per Morgan rule: remaining supplier payments to Inventory,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v7-2026-02-18,
2021-01-06,Sent money to Iveta Lipina,-120.35,EUR,137.43,outgoing,630,Inventory,no,mapped per Morgan rule: remaining supplier payments to Inventory,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v7-2026-02-18,
2021-01-17,Sent money to Marleen Fitterer,-50.35,EUR,87.08,outgoing,630,Inventory,no,mapped per Morgan rule: remaining supplier payments to Inventory,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v7-2026-02-18,
2021-01-31,Sent money to THORSTEN ALBERS,-452.08,EUR,0.00,outgoing,630,Inventory,no,mapped per Morgan rule: remaining supplier payments to Inventory,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v7-2026-02-18,
2021-01-31,Converted 582.19 AUD to 365.00 EUR,365.00,EUR,452.08,incoming,850,Suspense,no,Currency conversion,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v8-2026-02-19,
2021-01-31,Converted 582.19 AUD to 365.00 EUR,-582.19,AUD,467.24,outgoing,850,Suspense,no,currency conversion → Suspense (temporary clearing),statement_16108725_AUD_2019-07-01_2026-02-14.pdf,v8-2026-02-19,
2021-01-31,Received money from LEIF OH LEIF DISTRIBUTION PTY LTD with reference,850.00,AUD,1049.43,incoming,881,Owner A Funds Introduced,no,Transfer from company account,statement_16108725_AUD_2019-07-01_2026-02-14.pdf,v2-2026-02-18,owner_transfer
2021-02-02,Sent money to terese schoermer,-450.57,AUD,16.67,outgoing,630,Inventory,no,mapped per Morgan rule: remaining supplier payments to Inventory,statement_16108725_AUD_2019-07-01_2026-02-14.pdf,v7-2026-02-18,
2021-02-11,Sent money to Marleen Fitterer,-30.78,EUR,106.94,outgoing,630,Inventory,no,mapped per Morgan rule: remaining supplier payments to Inventory,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v7-2026-02-18,
2021-02-11,Sent money to Marleen Fitterer,-100.28,EUR,137.72,outgoing,630,Inventory,no,mapped per Morgan rule: remaining supplier payments to Inventory,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v7-2026-02-18,
2021-02-11,Received money from u-institut fur unternehmerisches Denken und Handeln e. | V. with reference Rechnung 0221-1,238.00,EUR,238.00,incoming,200,Sales,no,Business income - German client,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v2-2026-02-18,
2021-02-22,Received money from u-institut fur unternehmerisches Denken und Handeln e. | V. with reference Rechnung 0221-2,238.00,EUR,344.94,incoming,200,Sales,no,Business income - German client,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v2-2026-02-18,
2021-02-25,Converted 300.00 EUR to 457.15 AUD,-300.00,EUR,44.94,outgoing,850,Suspense,no,currency conversion → Suspense (temporary clearing),statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v8-2026-02-19,
2021-02-25,Sent money to Morgan Schoermer,-470.57,AUD,3.25,outgoing,850,Suspense,no,mapped per Morgan rule: owner transfers clearing (temporary),statement_16108725_AUD_2019-07-01_2026-02-14.pdf,v3-2026-02-18,
2021-02-25,Converted 300.00 EUR to 457.15 AUD,457.15,AUD,473.82,incoming,850,Suspense,no,Currency conversion,statement_16108725_AUD_2019-07-01_2026-02-14.pdf,v8-2026-02-19,
2021-02-26,Sent money to Alina Walter,-40.28,EUR,4.66,outgoing,630,Inventory,no,mapped per Morgan rule: remaining supplier payments to Inventory,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v7-2026-02-18,
2021-02-27,"Received money from u-institut fur unternehmerisches Denken und Handeln e. | V. with reference Rechnung 0221-3, KuKPi",654.50,EUR,659.16,incoming,200,Sales,no,Business income - German client,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v2-2026-02-18,
2021-03-05,Sent money to Patrick Ganser,-85.28,EUR,573.88,outgoing,630,Inventory,no,mapped per Morgan rule: remaining supplier payments to Inventory,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v7-2026-02-18,
2021-03-07,Sent money to ewan waddell,-20.28,EUR,553.60,outgoing,630,Inventory,no,mapped per Morgan rule: remaining supplier payments to Inventory,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v7-2026-02-18,
2021-03-08,Received money from Jonathan Ritzmann with reference Deposit,1048.82,EUR,1602.42,incoming,881,Owner A Funds Introduced,no,Personal,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v2-2026-02-18,personal_other
2021-03-12,Sent money to Alexandra Dominic,-25.28,EUR,1577.14,outgoing,630,Inventory,no,mapped per Morgan rule: remaining supplier payments to Inventory,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v7-2026-02-18,
2021-03-17,Sent money to Alexandra Dominic,-40.28,EUR,1210.43,outgoing,630,Inventory,no,mapped per Morgan rule: remaining supplier payments to Inventory,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v7-2026-02-18,
2021-03-17,Converted 326.43 EUR to 500.00 AUD,-326.43,EUR,1250.71,outgoing,850,Suspense,no,currency conversion → Suspense (temporary clearing),statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v8-2026-02-19,
2021-03-17,Sent money to Morgan Schoermer,-500.57,AUD,2.68,outgoing,850,Suspense,no,mapped per Morgan rule: owner transfers clearing (temporary),statement_16108725_AUD_2019-07-01_2026-02-14.pdf,v3-2026-02-18,
2021-03-17,Converted 326.43 EUR to 500.00 AUD,500.00,AUD,503.25,incoming,850,Suspense,no,Currency conversion,statement_16108725_AUD_2019-07-01_2026-02-14.pdf,v8-2026-02-19,
2021-03-29,Sent money to Marleen Fitterer,-115.28,EUR,1095.15,outgoing,630,Inventory,no,mapped per Morgan rule: remaining supplier payments to Inventory,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v7-2026-02-18,
2021-04-01,Received money from u-institut fur unternehmerisches Denken und Handeln e. | V. with reference Rechnung 0221-6,309.40,EUR,1404.55,incoming,200,Sales,no,Business income - German client,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v2-2026-02-18,
2021-04-09,Sent money to Morgan Schoermer,-200.00,EUR,1199.83,outgoing,850,Suspense,no,mapped per Morgan rule: owner transfers clearing (temporary),statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v3-2026-02-18,
2021-04-09,Wise Card Acquisition,-4.72,EUR,1399.83,outgoing,404,Bank Fees,no,Wise card fee,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v2-2026-02-18,
2021-04-09,Wise Card Acquisition,-2.68,AUD,0.00,outgoing,404,Bank Fees,no,Wise card fee,statement_16108725_AUD_2019-07-01_2026-02-14.pdf,v2-2026-02-18,
2021-05-27,"Converted 1,199.83 EUR to 1,882.49 AUD",-1199.83,EUR,0.00,outgoing,850,Suspense,no,currency conversion → Suspense (temporary clearing),statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v8-2026-02-19,
2021-05-27,Sent money to terese schoermer,-1880.57,AUD,1.92,outgoing,630,Inventory,no,mapped per Morgan rule: remaining supplier payments to Inventory,statement_16108725_AUD_2019-07-01_2026-02-14.pdf,v7-2026-02-18,
2021-05-27,"Converted 1,199.83 EUR to 1,882.49 AUD",1882.49,AUD,1882.49,incoming,850,Suspense,no,Currency conversion,statement_16108725_AUD_2019-07-01_2026-02-14.pdf,v8-2026-02-19,
2021-07-31,Received money from LEIF OH LEIF DISTRIBUTION PTY LTD with reference,350.00,AUD,351.92,incoming,881,Owner A Funds Introduced,no,Transfer from company account,statement_16108725_AUD_2019-07-01_2026-02-14.pdf,v2-2026-02-18,owner_transfer
2021-08-01,Sent money to Alexandra Dominic,-216.85,EUR,0.00,outgoing,630,Inventory,no,mapped per Morgan rule: remaining supplier payments to Inventory,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v7-2026-02-18,
2021-08-01,Converted 351.92 AUD to 216.85 EUR,216.85,EUR,216.85,incoming,850,Suspense,no,Currency conversion,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v8-2026-02-19,
2021-08-01,Converted 351.92 AUD to 216.85 EUR,-351.92,AUD,0.00,outgoing,850,Suspense,no,currency conversion → Suspense (temporary clearing),statement_16108725_AUD_2019-07-01_2026-02-14.pdf,v8-2026-02-19,
2021-09-02,Received money from LEIF OH LEIF DISTRIBUTION PTY LTD with reference,360.00,AUD,360.00,incoming,881,Owner A Funds Introduced,no,Transfer from company account,statement_16108725_AUD_2019-07-01_2026-02-14.pdf,v2-2026-02-18,owner_transfer
2021-09-03,Sent money to Alexandra Dominic,-223.52,EUR,0.00,outgoing,630,Inventory,no,mapped per Morgan rule: remaining supplier payments to Inventory,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v7-2026-02-18,
2021-09-03,Converted 360.00 AUD to 223.52 EUR,223.52,EUR,223.52,incoming,850,Suspense,no,Currency conversion,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v8-2026-02-19,
2021-09-03,Converted 360.00 AUD to 223.52 EUR,-360.00,AUD,0.00,outgoing,850,Suspense,no,currency conversion → Suspense (temporary clearing),statement_16108725_AUD_2019-07-01_2026-02-14.pdf,v8-2026-02-19,
2021-12-04,Received money from MORGAN SCHOERMER with reference,180.00,AUD,180.00,incoming,881,Owner A Funds Introduced,no,Owner funds in,statement_16108725_AUD_2019-07-01_2026-02-14.pdf,v2-2026-02-18,owner_transfer
2021-12-05,Sent money to Florian Simon,-65.28,EUR,4.33,outgoing,630,Inventory,no,mapped per Morgan rule: remaining supplier payments to Inventory,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v7-2026-02-18,
2021-12-05,Sent money to Michael Seifert,-41.28,EUR,69.61,outgoing,630,Inventory,no,mapped per Morgan rule: remaining supplier payments to Inventory,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v7-2026-02-18,
2021-12-05,Converted 180.00 AUD to 110.89 EUR,110.89,EUR,110.89,incoming,850,Suspense,no,Currency conversion,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v8-2026-02-19,
2021-12-05,Converted 180.00 AUD to 110.89 EUR,-180.00,AUD,0.00,outgoing,850,Suspense,no,currency conversion → Suspense (temporary clearing),statement_16108725_AUD_2019-07-01_2026-02-14.pdf,v8-2026-02-19,
2021-12-15,Converted 354.33 EUR to 558.88 AUD,-354.33,EUR,0.00,outgoing,850,Suspense,no,currency conversion → Suspense (temporary clearing),statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v8-2026-02-19,
2021-12-15,Received money from Alexandra Dominic with reference Sent from N26 | /a53390c7e14348919b15dbca21deada6,350.00,EUR,354.33,incoming,881,Owner A Funds Introduced,no,Personal,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v2-2026-02-18,personal_other
2021-12-15,Sent money to Therese Schoermer,-558.88,AUD,0.00,outgoing,630,Inventory,no,mapped per Morgan rule: remaining supplier payments to Inventory,statement_16108725_AUD_2019-07-01_2026-02-14.pdf,v7-2026-02-18,
2021-12-15,Converted 354.33 EUR to 558.88 AUD,558.88,AUD,558.88,incoming,850,Suspense,no,Currency conversion,statement_16108725_AUD_2019-07-01_2026-02-14.pdf,v8-2026-02-19,
2022-01-27,Received money from MORGAN SCHOERMER with reference,500.00,AUD,500.00,incoming,881,Owner A Funds Introduced,no,Owner funds in,statement_16108725_AUD_2019-07-01_2026-02-14.pdf,v2-2026-02-18,owner_transfer
2022-01-29,Converted 500.00 AUD to 312.36 EUR,312.36,EUR,312.36,incoming,850,Suspense,no,Currency conversion,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v8-2026-02-19,
2022-01-29,Converted 500.00 AUD to 312.36 EUR,-500.00,AUD,0.00,outgoing,850,Suspense,no,currency conversion → Suspense (temporary clearing),statement_16108725_AUD_2019-07-01_2026-02-14.pdf,v8-2026-02-19,
2022-02-01,Card transaction of 27.71 EUR issued by Rewe Markt Gmbh-Zw Berlin,-27.71,EUR,284.65,outgoing,494,Travel - International,no,mapped per Morgan rule: remaining Berlin transactions,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v13-2026-02-18,
2022-02-02,Card transaction of 32.80 EUR issued by Takumi Nine Berlin,-32.80,EUR,251.85,outgoing,494,Travel - International,no,mapped per Morgan rule: remaining Berlin transactions,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v13-2026-02-18,
2022-02-04,Card transaction of 120.28 EUR issued by Tk Maxx Gmbh & Co.kg Berlin,-120.28,EUR,131.57,outgoing,494,Travel - International,no,mapped per Morgan rule: remaining Berlin transactions,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v13-2026-02-18,
2022-02-06,Card transaction of 6.67 EUR issued by Rewe Markt Gmbh-Zw Berlin,-6.67,EUR,124.90,outgoing,494,Travel - International,no,mapped per Morgan rule: remaining Berlin transactions,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v13-2026-02-18,
2022-02-07,Card transaction of 5.46 EUR issued by Bio Company Se BERLIN,-5.46,EUR,79.54,outgoing,494,Travel - International,no,mapped per Morgan rule: remaining Berlin transactions,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v13-2026-02-18,
2022-02-07,Card transaction of 39.90 EUR issued by Wolt Enterprises Deuts Berlin,-39.90,EUR,85.00,outgoing,494,Travel - International,no,mapped per Morgan rule: remaining Berlin transactions,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v13-2026-02-18,
2022-02-08,Sent money to Alexandra Dominic,-75.28,EUR,4.26,outgoing,630,Inventory,no,mapped per Morgan rule: remaining supplier payments to Inventory,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v7-2026-02-18,
2022-02-10,Sent money to Alexandra Dominic,-100.28,EUR,154.44,outgoing,630,Inventory,no,mapped per Morgan rule: remaining supplier payments to Inventory,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v7-2026-02-18,
2022-02-10,Converted 400.00 AUD to 250.46 EUR,250.46,EUR,254.72,incoming,850,Suspense,no,Currency conversion,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v8-2026-02-19,
2022-02-10,Converted 400.00 AUD to 250.46 EUR,-400.00,AUD,0.00,outgoing,850,Suspense,no,currency conversion → Suspense (temporary clearing),statement_16108725_AUD_2019-07-01_2026-02-14.pdf,v8-2026-02-19,
2022-02-10,Received money from MORGAN SCHOERMER with reference,400.00,AUD,400.00,incoming,881,Owner A Funds Introduced,no,Owner funds in,statement_16108725_AUD_2019-07-01_2026-02-14.pdf,v2-2026-02-18,owner_transfer
2022-02-12,Card transaction of 1.59 EUR issued by Bio Company Se BERLIN,-1.59,EUR,128.94,outgoing,494,Travel - International,no,mapped per Morgan rule: remaining Berlin transactions,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v13-2026-02-18,
2022-02-12,Card transaction of 23.91 EUR issued by Bio Company Se BERLIN,-23.91,EUR,130.53,outgoing,494,Travel - International,no,mapped per Morgan rule: remaining Berlin transactions,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v13-2026-02-18,
2022-02-13,Card transaction of 64.45 EUR issued by Bauhaus 814 BERLIN,-64.45,EUR,64.49,outgoing,494,Travel - International,no,mapped per Morgan rule: remaining Berlin transactions,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v13-2026-02-18,
2022-02-14,"Card transaction of 43.95 EUR issued by Transact,22207991 Berlin",-43.95,EUR,20.54,outgoing,494,Travel - International,no,mapped per Morgan rule: remaining Berlin transactions,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v13-2026-02-18,
2022-02-15,Card transaction of 1.98 EUR issued by Bio Company Se BERLIN,-1.98,EUR,18.56,outgoing,494,Travel - International,no,mapped per Morgan rule: remaining Berlin transactions,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v13-2026-02-18,
2022-02-16,Card transaction of -59.00 EUR issued by Bauhaus 814 BERLIN,59.00,EUR,77.56,incoming,494,Travel - International,no,Card refund/reversal matched to Travel - International,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v13-2026-02-18,
2022-02-16,Received money from MORGAN SCHOERMER with reference,331.00,AUD,331.00,incoming,881,Owner A Funds Introduced,no,Owner funds in,statement_16108725_AUD_2019-07-01_2026-02-14.pdf,v2-2026-02-18,owner_transfer
2022-02-17,Card transaction of 60.00 EUR issued by Wlln0001-Lidosta Riga Marupes nov.,-60.00,EUR,13.76,outgoing,880,Owner A Drawings,no,Personal - groceries,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v2-2026-02-18,
2022-02-17,Card transaction of 3.80 EUR issued by Db Automaten Berlin,-3.80,EUR,73.76,outgoing,494,Travel - International,no,mapped per Morgan rule: remaining Berlin transactions,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v13-2026-02-18,
2022-02-18,Sent money to karlis ulmanis,-20.28,EUR,202.62,outgoing,630,Inventory,no,mapped per Morgan rule: remaining supplier payments to Inventory,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v7-2026-02-18,
2022-02-18,Converted 331.00 AUD to 209.14 EUR,209.14,EUR,222.90,incoming,850,Suspense,no,Currency conversion,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v8-2026-02-19,
2022-02-18,Converted 331.00 AUD to 209.14 EUR,-331.00,AUD,400.00,outgoing,850,Suspense,no,currency conversion → Suspense (temporary clearing),statement_16108725_AUD_2019-07-01_2026-02-14.pdf,v8-2026-02-19,
2022-02-18,Received money from MORGAN SCHOERMER with reference,400.00,AUD,731.00,incoming,881,Owner A Funds Introduced,no,Owner funds in,statement_16108725_AUD_2019-07-01_2026-02-14.pdf,v2-2026-02-18,owner_transfer
2022-02-19,Card transaction of 562.80 EUR issued by Supreme Berlin,-562.80,EUR,197.13,outgoing,429,General Expenses,no,mapped per Morgan rule: sample purchases,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v12-2026-02-18,
2022-02-19,Converted 500.00 AUD to 315.35 EUR,315.35,EUR,759.93,incoming,850,Suspense,no,Currency conversion,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v8-2026-02-19,
2022-02-19,Converted 400.00 AUD to 252.28 EUR,252.28,EUR,444.58,incoming,850,Suspense,no,Currency conversion,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v8-2026-02-19,
2022-02-19,Card transaction of 6.52 EUR issued by Rewe Markt Gmbh-Zw Berlin,-6.52,EUR,192.30,outgoing,494,Travel - International,no,mapped per Morgan rule: remaining Berlin transactions,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v13-2026-02-18,
2022-02-19,Card transaction of 3.80 EUR issued by Db Automaten Schoenefeld,-3.80,EUR,198.82,outgoing,494,Travel - International,no,Meals during business travel (overnight),statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v2-2026-02-18,
2022-02-19,Converted 500.00 AUD to 315.35 EUR,-500.00,AUD,0.00,outgoing,850,Suspense,no,currency conversion → Suspense (temporary clearing),statement_16108725_AUD_2019-07-01_2026-02-14.pdf,v8-2026-02-19,
2022-02-19,Received money from MORGAN SCHOERMER with reference,500.00,AUD,500.00,incoming,881,Owner A Funds Introduced,no,Owner funds in,statement_16108725_AUD_2019-07-01_2026-02-14.pdf,v2-2026-02-18,owner_transfer
2022-02-19,Converted 400.00 AUD to 252.28 EUR,-400.00,AUD,0.00,outgoing,850,Suspense,no,currency conversion → Suspense (temporary clearing),statement_16108725_AUD_2019-07-01_2026-02-14.pdf,v8-2026-02-19,
2022-02-20,Card transaction of 21.88 EUR issued by Ac Euro Gida Gmbh Berlin,-21.88,EUR,175.25,outgoing,494,Travel - International,no,mapped per Morgan rule: remaining Berlin transactions,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v13-2026-02-18,
2022-02-22,Card transaction of 306.40 EUR issued by Supreme Berlin,-175.25,EUR,0.00,outgoing,429,General Expenses,no,mapped per Morgan rule: sample purchases,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v12-2026-02-18,
2022-02-22,Card transaction of 69.92 EUR issued by Bauhaus 814 BERLIN,-110.40,AUD,962.76,outgoing,494,Travel - International,no,mapped per Morgan rule: remaining Berlin transactions,statement_16108725_AUD_2019-07-01_2026-02-14.pdf,v13-2026-02-18,
2022-02-22,Card transaction of 306.40 EUR issued by Supreme Berlin,-207.04,AUD,1073.16,outgoing,429,General Expenses,no,mapped per Morgan rule: sample purchases,statement_16108725_AUD_2019-07-01_2026-02-14.pdf,v12-2026-02-18,
2022-02-22,Received money from CRAIG WAH DAY with reference,1280.20,AUD,1280.20,incoming,881,Owner A Funds Introduced,no,Personal,statement_16108725_AUD_2019-07-01_2026-02-14.pdf,v2-2026-02-18,personal_other
2022-02-23,Card transaction of 600.00 EUR issued by Volksbank Eg Velpke,-611.46,EUR,2.73,outgoing,880,Owner A Drawings,no,ATM withdrawal → Owner Drawings,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v9-2026-02-19,
2022-02-23,Converted 898.00 AUD to 572.56 EUR,572.56,EUR,614.19,incoming,850,Suspense,no,Currency conversion,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v8-2026-02-19,
2022-02-23,Card transaction of 500.00 EUR issued by Volksbank Eg Velpke,-507.64,EUR,41.63,outgoing,880,Owner A Drawings,no,ATM withdrawal → Owner Drawings,statement_16107242_EUR_2019-07-01_2026-02-14.pdf,v9-2026-02-19,
