*Code,*Name,*Type,*Tax Code,Description,Dashboard,Expense Claims,Enable Payments,Balance
,Australian Dollar,Bank,BAS Excluded,,No,No,No,
,Leif Oh Leif Distribution,Bank,BAS Excluded,,No,No,No,
,Wise AUD,Bank,BAS Excluded,,No,No,No,
,Private Bank Account,Bank,BAS Excluded,,No,No,No,
,Westpac GST,Bank,BAS Excluded,,No,No,No,
,Westpac Wages,Bank,BAS Excluded,,No,No,No,
091,Wise - Full Import,Bank,BAS Excluded,Wise bank transactions imported from CSV (Nov 2020 - Feb 2026),No,No,No,
200,Sales,Revenue,GST on Income,Income from any normal business activity,No,No,No,
201,Income - Sean Maxwell Ferguson,Revenue,GST on Income,,No,No,No,
202,Income - Labouring,Revenue,GST on Income,,No,No,No,
203,Income - Car Sale,Revenue,GST on Income,,No,No,No,
204,Income - Maxine Pemble,Revenue,GST on Income,,No,No,No,
205,Income - Personal/Miscellaneous,Revenue,GST on Income,,No,No,No,
206,Consulting Revenue,Revenue,GST on Income,,No,No,No,
255,Rent Received,Revenue,GST on Income,,No,No,No,
258,Photography Income,Revenue,BAS Excluded,,No,No,No,
260,Abyss Income,Revenue,GST on Income,Any other income that does not relate to normal business activities and is not recurring,No,No,No,
265,Refunds,Revenue,GST on Income,,No,No,No,
270,Interest Income,Revenue,BAS Excluded,Interest income,No,No,No,
310,Cost of Goods Sold,Direct Costs,GST on Expenses,Cost of goods sold by the business,No,No,No,
311,O/S WIthdrawl for Inventory,Expense,GST on Expenses,,No,No,No,
400,Advertising,Expense,GST on Expenses,Expenses incurred for advertising while trying to increase sales,No,No,No,
404,Bank Fees,Expense,BAS Excluded,Fees charged by your bank for transactions regarding your bank account(s).,No,No,No,
405,Merchant Fee,Expense,GST on Expenses,,No,No,No,
408,Cleaning,Expense,BAS Excluded,Expenses incurred for cleaning business property.,No,No,No,
412,Consulting & Accounting,Expense,GST on Expenses,Expenses related to paying consultants,No,No,No,
416,Depreciation,Expense,BAS Excluded,The amount of the asset's cost (based on the useful life) that was consumed during the period,No,No,No,
420,Entertainment,Expense,BAS Excluded,Expenses paid by company for the business but are not deductable for income tax purposes.,No,No,No,
421,Meals & Food,Expense,GST on Expenses,Solo working meals and food expenses,No,No,No,
425,Freight & Courier,Expense,GST on Expenses,Expenses incurred on courier & freight costs,No,No,No,
429,General Expenses,Expense,GST on Expenses,General expenses related to the running of the business.,No,No,No,
433,Insurance,Expense,BAS Excluded,Expenses incurred for insuring the business' assets,No,No,No,
437,Interest Expense,Expense,BAS Excluded,"Any interest expenses paid to ATO, business bank accounts or credit card accounts.",No,No,No,
441,Legal expenses,Expense,BAS Excluded,Expenses incurred on any legal matters,No,No,No,
445,"Light, Power, Heating",Expense,BAS Excluded,"Expenses incurred for lighting, powering or heating the premises",No,No,No,
449,Motor Vehicle Expenses,Expense,GST on Expenses,Expenses incurred on the running of company motor vehicles,No,No,No,
453,Office Expenses,Expense,GST on Expenses,General expenses related to the running of the business office.,No,No,No,
461,Printing & Stationery,Expense,BAS Excluded,Expenses incurred by the entity as a result of printing and stationery,No,No,No,
469,Rent,Expense,BAS Excluded,The payment to lease a building or area.,No,No,No,
