*Date,*Amount,*Payee,*Description,*Reference,AccountCode,TaxType,Notes,MORGAN_ACCOUNT,MORGAN_TAX,MORGAN_NOTES
23/02/2026,-80.14,"Sp All Americanautopts MITCHELL PARK","Card transaction of 80.14 AUD issued by Sp All Americanautopts MITCHELL PARK","",,,"REVIEW - No rule matched",,,
19/02/2026,-37.88,"Anthropic ANTHROPIC.COM","Card transaction of 33.00 USD issued by Anthropic ANTHROPIC.COM (fee: 0.13 AUD)","",,,"REVIEW - No rule matched",,,
19/02/2026,-0.13,"Anthropic ANTHROPIC.COM","Wise Charges for: CARD-3471309048","",,,"REVIEW - No rule matched",,,
18/02/2026,-26.75,"Red Hill Pharmacy RED HILL","Card transaction of 26.75 AUD issued by Red Hill Pharmacy RED HILL","",,,"REVIEW - No rule matched",,,
15/02/2026,-21.80,"Brisbane Entertainment BOONDALL","Card transaction of 21.80 AUD issued by Brisbane Entertainment BOONDALL","",,,"REVIEW - No rule matched",,,
15/02/2026,-18.00,"Brisbane Entertainment BOONDALL","Card transaction of 18.00 AUD issued by Brisbane Entertainment BOONDALL","",,,"REVIEW - No rule matched",,,
15/02/2026,-8.00,"Brisbane Entertainment BOONDALL","Card transaction of 8.00 AUD issued by Brisbane Entertainment BOONDALL","",,,"REVIEW - No rule matched",,,
15/02/2026,-6.70,"Brisbane Entertainment BOONDALL","Card transaction of 6.70 AUD issued by Brisbane Entertainment BOONDALL","",,,"REVIEW - No rule matched",,,
15/02/2026,-6.20,"Brisbane Entertainment BOONDALL","Card transaction of 6.20 AUD issued by Brisbane Entertainment BOONDALL","",,,"REVIEW - No rule matched",,,
15/02/2026,-18.00,"Sq *Bec Car Parking Boondall","Card transaction of 18.00 AUD issued by Sq *Bec Car Parking Boondall","",,,"REVIEW - No rule matched",,,
13/02/2026,-16.58,"Bite* Bbnew Alley SANCROX","Card transaction of 16.58 AUD issued by Bite* Bbnew Alley SANCROX","",,,"REVIEW - No rule matched",,,
13/02/2026,-45.79,"Ableton Ag BERLIN","Card transaction of 45.79 AUD issued by Ableton Ag BERLIN","",,,"REVIEW - No rule matched",,,
13/02/2026,-98.95,"Asana.com SYDNEY","Card transaction of 98.95 AUD issued by Asana.com SYDNEY","",,,"REVIEW - No rule matched",,,
12/02/2026,-5.34,"Nightowl - Noosaville NOOSAVILLE","Card transaction of 5.34 AUD issued by Nightowl - Noosaville NOOSAVILLE","",,,"REVIEW - No rule matched",,,
12/02/2026,-74.30,"Sp Hey Posy TORQUAY","Card transaction of 74.30 AUD issued by Sp Hey Posy TORQUAY","",,,"REVIEW - No rule matched",,,
04/02/2026,-10.39,"Flannerys Chermside CHERMSIDE","Card transaction of 10.39 AUD issued by Flannerys Chermside CHERMSIDE","",,,"REVIEW - No rule matched",,,
03/02/2026,-65.50,"7-Eleven 4237 CARRARA","Card transaction of 65.50 AUD issued by 7-Eleven 4237 CARRARA","",,,"REVIEW - No rule matched",,,
01/02/2026,-47.78,"# B & W F Valley Fortitude Val","Card transaction of 47.78 AUD issued by # B & W F Valley Fortitude Val","",,,"REVIEW - No rule matched",,,
31/01/2026,-109.00,"Sp Ozcarparts.com.au SMITHFIELD","Card transaction of 109.00 AUD issued by Sp Ozcarparts.com.au SMITHFIELD","",,,"REVIEW - No rule matched",,,
27/01/2026,-295.00,"Goals Psychology MELBOURNE","Card transaction of 295.00 AUD issued by Goals Psychology MELBOURNE","",,,"REVIEW - No rule matched",,,
22/01/2026,-16.85,"Sp The Vinyl Loft NORTH LAKES","Card transaction of 16.85 AUD issued by Sp The Vinyl Loft NORTH LAKES","",,,"REVIEW - No rule matched",,,
20/01/2026,-260.70,"Rad Stickers WARRNAMBOOL","Card transaction of 260.70 AUD issued by Rad Stickers WARRNAMBOOL","",,,"REVIEW - No rule matched",,,
19/01/2026,-54.38,"Smp*Creole Soul Kitche0 SPRING HILL","Card transaction of 54.38 AUD issued by Smp*Creole Soul Kitche0 SPRING HILL","",,,"REVIEW - No rule matched",,,
17/01/2026,-10.25,"Cornerstone Parking Pt BRISBANE CITY","Card transaction of 10.25 AUD issued by Cornerstone Parking Pt BRISBANE CITY","",,,"REVIEW - No rule matched",,,
17/01/2026,-5.00,"Sq *Ocrf 3 Capes Ni And T Hamilton","Card transaction of 5.00 AUD issued by Sq *Ocrf 3 Capes Ni And T Hamilton","",,,"REVIEW - No rule matched",,,
17/01/2026,-80.01,"Modi Corporation RED HILL","Card transaction of 80.01 AUD issued by Modi Corporation RED HILL","",,,"REVIEW - No rule matched",,,
17/01/2026,-10.30,"Mcdonalds Kenmore KENMORE","Card transaction of 10.30 AUD issued by Mcdonalds Kenmore KENMORE","",,,"REVIEW - No rule matched",,,
16/01/2026,-25.81,"Kelvin Lee Hot Bread KELVIN GROVE","Card transaction of 25.81 AUD issued by Kelvin Lee Hot Bread KELVIN GROVE","",,,"REVIEW - No rule matched",,,
14/01/2026,-101.65,"Smp*Momosho Pet Spa Paddington","Card transaction of 101.65 AUD issued by Smp*Momosho Pet Spa Paddington","",,,"REVIEW - No rule matched",,,
13/01/2026,-19.00,"Sq *Tiger Burger West End","Card transaction of 19.00 AUD issued by Sq *Tiger Burger West End","",,,"REVIEW - No rule matched",,,
12/01/2026,-139.22,"Seasons Supermarkets 1 MAROOCHYDORE","Card transaction of 139.22 AUD issued by Seasons Supermarkets 1 MAROOCHYDORE","",,,"REVIEW - No rule matched",,,
11/01/2026,-259.00,"Sp Ozcarparts.com.au SMITHFIELD","Card transaction of 259.00 AUD issued by Sp Ozcarparts.com.au SMITHFIELD","",,,"REVIEW - No rule matched",,,
10/01/2026,-5.50,"Reddy Express 1779 Bulimba","Card transaction of 5.50 AUD issued by Reddy Express 1779 Bulimba","",,,"REVIEW - No rule matched",,,
08/01/2026,-26.20,"Sq *Pepperjack Sandwiches South Brisban","Card transaction of 26.20 AUD issued by Sq *Pepperjack Sandwiches South Brisban","",,,"REVIEW - No rule matched",,,
07/01/2026,-13.26,"Bobachicken Kelvingrov Kelvin Grove","Card transaction of 13.26 AUD issued by Bobachicken Kelvingrov Kelvin Grove","",,,"REVIEW - No rule matched",,,
06/01/2026,-53.17,"Www.theballpark.au WWW.THEBALLPA","Card transaction of 53.17 AUD issued by Www.theballpark.au WWW.THEBALLPA","",,,"REVIEW - No rule matched",,,
06/01/2026,-295.00,"Goals Psychology MELBOURNE","Card transaction of 295.00 AUD issued by Goals Psychology MELBOURNE","",,,"REVIEW - No rule matched",,,
06/01/2026,-1.50,"7-Eleven 4144 WEST END","Card transaction of 1.50 AUD issued by 7-Eleven 4144 WEST END","",,,"REVIEW - No rule matched",,,
06/01/2026,-9.14,"Sq *Tiger Burger West End","Card transaction of 9.14 AUD issued by Sq *Tiger Burger West End","",,,"REVIEW - No rule matched",,,
05/01/2026,-23.11,"Motto Motto Newmarket NEWMARKET","Card transaction of 23.11 AUD issued by Motto Motto Newmarket NEWMARKET","",,,"REVIEW - No rule matched",,,
05/01/2026,-329.99,"Bcf Everton Park EVERTON PARK","Card transaction of 329.99 AUD issued by Bcf Everton Park EVERTON PARK","",,,"REVIEW - No rule matched",,,
05/01/2026,-72.00,"Rtm Aspley Aspley","Card transaction of 72.00 AUD issued by Rtm Aspley Aspley","",,,"REVIEW - No rule matched",,,
03/01/2026,-200.00,"Dorsettgcfrontdesk Brisbane City","Card transaction of 200.00 AUD issued by Dorsettgcfrontdesk Brisbane City","",,,"REVIEW - No rule matched",,,
03/01/2026,-11.16,"Maggie Choo's BROADBEACH","Card transaction of 11.16 AUD issued by Maggie Choo's BROADBEACH","",,,"REVIEW - No rule matched",,,
01/01/2026,-19.44,"Sq *Pepperjack Sandwiches South Brisban","Card transaction of 19.44 AUD issued by Sq *Pepperjack Sandwiches South Brisban","",,,"REVIEW - No rule matched",,,
31/12/2025,-40.02,"Reddy Express 1870 Banyo","Card transaction of 40.02 AUD issued by Reddy Express 1870 Banyo","",,,"REVIEW - No rule matched",,,
30/12/2025,-30.00,"Www.momoshopetspa.com PADDINGTON","Card transaction of 30.00 AUD issued by Www.momoshopetspa.com PADDINGTON","",,,"REVIEW - No rule matched",,,
28/12/2025,-60.66,"Samuel James Jackson NEW FARM","Card transaction of 60.66 AUD issued by Samuel James Jackson NEW FARM","",,,"REVIEW - No rule matched",,,
27/12/2025,-17.40,"Ww Metro/105-109 Commerci TENERIFFE","Card transaction of 17.40 AUD issued by Ww Metro/105-109 Commerci TENERIFFE","",,,"REVIEW - No rule matched",,,
26/12/2025,-66.00,"Bws/634 Gympie Road - Ten CHERMSIDE","Card transaction of 66.00 AUD issued by Bws/634 Gympie Road - Ten CHERMSIDE","",,,"REVIEW - No rule matched",,,
25/12/2025,-43.59,"Han Jan Brisbane City","Card transaction of 43.59 AUD issued by Han Jan Brisbane City","",,,"REVIEW - No rule matched",,,
25/12/2025,-4.99,"Primevideo SYDNEY","Card transaction of 4.99 AUD issued by Primevideo SYDNEY","",,,"REVIEW - No rule matched",,,
24/12/2025,-98.00,"Mannys Fortitude Val","Card transaction of 98.00 AUD issued by Mannys Fortitude Val","",,,"REVIEW - No rule matched",,,
20/12/2025,-51.26,"Mr Percivals BRISBANE","Card transaction of 51.26 AUD issued by Mr Percivals BRISBANE","",,,"REVIEW - No rule matched",,,
15/12/2025,-134.67,"Paypal *Interparcel 01300006031","Card transaction of 105.00 AUD issued by Paypal *Interparcel 01300006031","",,,"REVIEW - No rule matched",,,
15/12/2025,-105.00,"Paypal *Interparcel 01300006031","Card transaction of 105.00 AUD issued by Paypal *Interparcel 01300006031","",,,"REVIEW - No rule matched",,,
15/12/2025,-49.48,"Sp Heapsgood CAULFIELD NOR","Card transaction of 49.48 AUD issued by Sp Heapsgood CAULFIELD NOR","",,,"REVIEW - No rule matched",,,
14/12/2025,-299.25,"Paypal *Interparcel 01300006031","Card transaction of 299.25 AUD issued by Paypal *Interparcel 01300006031","",,,"REVIEW - No rule matched",,,
13/12/2025,-4.50,"Cocacolaepp Robina","Card transaction of 4.50 AUD issued by Cocacolaepp Robina","",,,"REVIEW - No rule matched",,,
13/12/2025,-3.60,"Cocacolaepp Robina","Card transaction of 3.60 AUD issued by Cocacolaepp Robina","",,,"REVIEW - No rule matched",,,
09/12/2025,-20.32,"Sq *Chipstars Ashgrove","Card transaction of 20.32 AUD issued by Sq *Chipstars Ashgrove","",,,"REVIEW - No rule matched",,,
09/12/2025,-22.80,"Suncorp Stadium MILTON","Card transaction of 22.80 AUD issued by Suncorp Stadium MILTON","",,,"REVIEW - No rule matched",,,
04/12/2025,-8.25,"Mcdonalds Mobys Vics COOCHIN CREEK","Card transaction of 8.25 AUD issued by Mcdonalds Mobys Vics COOCHIN CREEK","",,,"REVIEW - No rule matched",,,
04/12/2025,-177.00,"Mannys Fortitude Val","Card transaction of 177.00 AUD issued by Mannys Fortitude Val","",,,"REVIEW - No rule matched",,,
03/12/2025,-86.08,"Signet Pty Ltd WAKERLEY","Card transaction of 86.08 AUD issued by Signet Pty Ltd WAKERLEY","",,,"REVIEW - No rule matched",,,
03/12/2025,-35.90,"Carrolls Woodcraft Sup GROVEDALE","Card transaction of 35.90 AUD issued by Carrolls Woodcraft Sup GROVEDALE","",,,"REVIEW - No rule matched",,,
01/12/2025,-5.17,"Yuens Market FORTITUDE VAL","Card transaction of 5.17 AUD issued by Yuens Market FORTITUDE VAL","",,,"REVIEW - No rule matched",,,
01/12/2025,-51.36,"Eh&py Pty Ltd FORTITUDE VAL","Card transaction of 51.36 AUD issued by Eh&py Pty Ltd FORTITUDE VAL","",,,"REVIEW - No rule matched",,,
28/11/2025,-47.00,"Royal On The Park BRISBANE CITY","Card transaction of 47.00 AUD issued by Royal On The Park BRISBANE CITY","",,,"REVIEW - No rule matched",,,
27/11/2025,-33.66,"Figma FIGMA.COM","Card transaction of 22.00 USD issued by Figma FIGMA.COM (fee: 0.12 AUD)","",,,"REVIEW - No rule matched",,,
27/11/2025,-0.12,"Figma FIGMA.COM","Wise Charges for: CARD-3164890650","",,,"REVIEW - No rule matched",,,
27/11/2025,-59.73,"Sp Eventide Audio STORE.EVENTID","Card transaction of 39.00 USD issued by Sp Eventide Audio STORE.EVENTID (fee: 0.21 AUD)","",,,"REVIEW - No rule matched",,,
27/11/2025,-0.21,"Sp Eventide Audio STORE.EVENTID","Wise Charges for: CARD-3164772151","",,,"REVIEW - No rule matched",,,
27/11/2025,-29.10,"Sp Eventide Audio STORE.EVENTID","Card transaction of 19.00 USD issued by Sp Eventide Audio STORE.EVENTID (fee: 0.10 AUD)","",,,"REVIEW - No rule matched",,,
27/11/2025,-0.10,"Sp Eventide Audio STORE.EVENTID","Wise Charges for: CARD-3164769702","",,,"REVIEW - No rule matched",,,
26/11/2025,-14.35,"Ww Metro/105-109 Commerci TENERIFFE","Card transaction of 14.35 AUD issued by Ww Metro/105-109 Commerci TENERIFFE","",,,"REVIEW - No rule matched",,,
24/11/2025,-12.30,"Nabropure Water Vendin SEVENTEEN MIL","Card transaction of 12.30 AUD issued by Nabropure Water Vendin SEVENTEEN MIL","",,,"REVIEW - No rule matched",,,
21/11/2025,-7.75,"Lonshi Pty Ltd KELVIN GROVE","Card transaction of 7.75 AUD issued by Lonshi Pty Ltd KELVIN GROVE","",,,"REVIEW - No rule matched",,,
19/11/2025,-239.00,"Goldcoastmu 0755327174","Card transaction of 239.00 AUD issued by Goldcoastmu 0755327174","",,,"REVIEW - No rule matched",,,
17/11/2025,-13.79,"Hitworld Music Group HITWORLD.BEAT","Card transaction of 8.99 USD issued by Hitworld Music Group HITWORLD.BEAT (fee: 0.05 AUD)","",,,"REVIEW - No rule matched",,,
17/11/2025,-0.05,"Hitworld Music Group HITWORLD.BEAT","Wise Charges for: CARD-3130065085","",,,"REVIEW - No rule matched",,,
15/11/2025,-15.27,"Ww Metro/105-109 Commerci TENERIFFE","Card transaction of 15.27 AUD issued by Ww Metro/105-109 Commerci TENERIFFE","",,,"REVIEW - No rule matched",,,
