Month,Money In,Money Out,Net
Apr 2019,0,584.44,-584.44
Jul 2019,5186.400000000001,9319.899999999996,-4133.499999999995
Aug 2019,10285.039999999999,4837.59,5447.449999999999
Sep 2019,3000.0,7333.2,-4333.2
Oct 2019,1500.0,2066.06,-566.06
Nov 2019,2000.0,4419.819999999999,-2419.819999999999
Dec 2019,3500.0,4018.32,-518.3200000000002
Jan 2020,0,1345.76,-1345.76
Feb 2020,3000.0,5964.889999999999,-2964.8899999999994
Mar 2020,2000.0,3724.0800000000004,-1724.0800000000004
Apr 2020,0,40.79,-40.79
May 2020,0,10.0,-10.0
Jun 2020,2000.0,3571.46,-1571.46
Nov 2020,4300.0,1926.4099999999999,2373.59
Dec 2020,0,123.91999999999999,-123.91999999999999
Jan 2021,2550.0,1839.9599999999998,710.0400000000002
Feb 2021,3848.65,1073.0500000000002,2775.6
Mar 2021,3646.46,286.96999999999997,3359.4900000000002
Apr 2021,928.1999999999999,24.88,903.3199999999999
May 2021,0,3761.14,-3761.14
Jul 2021,1050.0,0,1050.0
Aug 2021,0,919.15,-919.15
Sep 2021,1080.0,941.9400000000002,138.05999999999983
Dec 2021,1590.0,1583.53,6.470000000000027
Jan 2022,1500.0,997.8100000000001,502.18999999999994
Feb 2022,11816.600000000002,15017.329999999996,-3200.729999999994
Mar 2022,3297.6,1832.6599999999999,1464.94
Jul 2022,10579.86,14219.590000000007,-3639.730000000007
Aug 2022,1587.4500000000003,4277.929999999999,-2690.479999999999
Sep 2022,3161.4800000000005,3643.5300000000007,-482.0500000000002
Oct 2022,1000.0,228.29000000000005,771.7099999999999
Nov 2022,15178.64,14964.63,214.01000000000022
Dec 2022,9330.74,11372.92,-2042.1800000000003
Jan 2023,7930.93,8769.029999999995,-838.0999999999949
Feb 2023,3845.0,3271.48,573.52
Mar 2023,4442.5,4289.35,153.14999999999964
Apr 2023,4688.0,3473.73,1214.27
May 2023,14417.279999999999,10567.239999999998,3850.040000000001
Jun 2023,17300.0,11380.970000000003,5919.029999999997
Jul 2023,6548.19,22828.689999999995,-16280.499999999996
Aug 2023,24245.35,34854.049999999996,-10608.699999999997
Sep 2023,27940.149999999998,17768.260000000002,10171.889999999996
Oct 2023,49824.03000000001,51255.290000000045,-1431.2600000000311
Nov 2023,20093.679999999993,15896.619999999995,4197.059999999998
Dec 2023,21966.44,16283.369999999999,5683.07
Jan 2024,24391.450000000008,22085.59,2305.860000000008
Feb 2024,6349.68,7882.949999999998,-1533.2699999999977
Mar 2024,6450.659999999999,7316.15,-865.4900000000007
Apr 2024,11589.360000000002,8661.489999999996,2927.8700000000063
May 2024,26869.75,30516.920000000016,-3647.1700000000164
Jun 2024,8905.73,7206.869999999997,1698.8600000000024
Jul 2024,22900.05,44461.30999999998,-21561.259999999984
Aug 2024,17240.71,19164.15000000001,-1923.4400000000096
Sep 2024,15525.64,21473.040000000023,-5947.400000000023
Oct 2024,19933.8,22629.049999999996,-2695.2499999999964
Nov 2024,10109.769999999999,14185.899999999992,-4076.1299999999937
Dec 2024,24039.46,27432.429999999997,-3392.9699999999975
Jan 2025,17715.6,26971.910000000007,-9256.310000000009
Feb 2025,23753.2,25390.420000000002,-1637.2200000000012
Mar 2025,9774.01,12955.849999999993,-3181.839999999993
Apr 2025,10786.23,12061.009999999998,-1274.7799999999988
May 2025,12950.11,15311.289999999995,-2361.179999999995
Jun 2025,18422.87,13758.389999999992,4664.480000000007
Jul 2025,13476.949999999999,23193.240000000013,-9716.290000000014
Aug 2025,28999.030000000006,29632.480000000025,-633.4500000000189
Sep 2025,31469.920000000002,35269.03999999997,-3799.11999999997
Oct 2025,25634.18,28463.019999999993,-2828.839999999993
Nov 2025,29523.659999999996,25182.619999999984,4341.040000000012
Dec 2025,16643.76,24895.460000000003,-8251.700000000004
Jan 2026,12508.68,14985.239999999998,-2476.5599999999977
Feb 2026,12932.419999999998,6177.449999999998,6754.97
Mar 2026,5777.73,1472.6,4305.129999999999
TOTAL,776833.08,855645.9,-78812.82000000007
